FilePath, ChangeRate, AddLines, DeleteLines, class
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroSerialization.java,6,42,37,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroTextOutputFormat.java,2,141,7,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroUtf8InputFormat.java,1,4,4,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroWrapper.java,3,10,2,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/HadoopCombiner.java,1,1,1,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/HadoopMapper.java,4,13,32,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/HadoopReducerBase.java,3,9,5,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/Pair.java,5,106,25,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/SequenceFileReader.java,1,3,3,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/SequenceFileRecordReader.java,1,1,1,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherData.java,1,1,1,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherInputFormat.java,2,19,7,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherJob.java,6,105,90,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherKeyComparator.java,2,3,3,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherKeySerialization.java,5,13,11,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherMapRunner.java,3,9,7,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherOutputFormat.java,2,2,2,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherPartitioner.java,1,1,1,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherRecordReader.java,1,5,5,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherReducer.java,2,3,4,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetheredProcess.java,7,132,33,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroKeyRecordWriter.java,7,107,16,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroKeyValueRecordWriter.java,7,159,18,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroMultipleOutputs.java,7,708,108,non-bug-prone
lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroOutputFormatBase.java,8,135,29,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/hadoop/file/TestHadoopCodecFactory.java,2,65,5,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestAvroInputFormat.java,2,91,8,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestAvroMultipleOutputs.java,4,400,55,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestAvroOutputFormat.java,3,168,26,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestAvroTextOutputFormat.java,2,95,5,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestAvroTextSort.java,1,6,6,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestGenericJob.java,3,167,14,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestReflectJob.java,3,169,10,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestSequenceFileReader.java,2,54,14,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestWeather.java,4,64,17,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapred/TestWordCount.java,2,30,27,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapred/WordCountUtil.java,5,53,13,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapred/tether/TetherTask.java,6,49,14,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapred/tether/WordCountTask.java,4,10,5,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/TestAvroKeyRecordWriter.java,5,142,18,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/TestAvroKeyValueRecordWriter.java,6,257,22,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/TestAvroMultipleOutputs.java,3,432,14,non-bug-prone
lang/java/mapred/src/test/java/org/apache/avro/mapreduce/TestAvroMultipleOutputsSyncable.java,2,431,13,non-bug-prone
lang/java/maven-plugin/src/main/java/org/apache/avro/mojo/AbstractAvroMojo.java,12,262,23,non-bug-prone
lang/java/maven-plugin/src/main/java/org/apache/avro/mojo/IDLProtocolMojo.java,11,133,19,non-bug-prone
lang/java/maven-plugin/src/main/java/org/apache/avro/mojo/ProtocolMojo.java,9,85,9,non-bug-prone
lang/java/maven-plugin/src/main/java/org/apache/avro/mojo/SchemaMojo.java,13,112,18,non-bug-prone
lang/java/maven-plugin/src/test/java/org/apache/avro/mojo/AbstractAvroMojoTest.java,2,61,1,non-bug-prone
lang/java/maven-plugin/src/test/java/org/apache/avro/mojo/TestIDLProtocolMojo.java,3,46,2,non-bug-prone
lang/java/maven-plugin/src/test/java/org/apache/avro/mojo/TestProtocolMojo.java,2,45,1,non-bug-prone
lang/java/maven-plugin/src/test/java/org/apache/avro/mojo/TestSchemaMojo.java,2,45,1,non-bug-prone
lang/java/protobuf/src/main/java/org/apache/avro/protobuf/ProtobufData.java,11,402,54,non-bug-prone
lang/java/protobuf/src/main/java/org/apache/avro/protobuf/ProtobufDatumReader.java,6,94,10,non-bug-prone
lang/java/protobuf/src/main/java/org/apache/avro/protobuf/ProtobufDatumWriter.java,3,76,7,non-bug-prone
lang/java/protobuf/src/test/java/org/apache/avro/protobuf/Test.java,6,3941,625,non-bug-prone
lang/java/protobuf/src/test/java/org/apache/avro/protobuf/TestProtobuf.java,6,96,4,non-bug-prone
lang/java/thrift/src/main/java/org/apache/avro/thrift/ThriftData.java,12,315,45,bug-prone
lang/java/thrift/src/main/java/org/apache/avro/thrift/ThriftDatumWriter.java,2,61,3,non-bug-prone
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/E.java,3,50,2,non-bug-prone
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/Error.java,3,427,42,non-bug-prone
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/Foo.java,3,2203,207,non-bug-prone
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/FooOrBar.java,3,361,5,non-bug-prone
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/Nested.java,3,431,48,non-bug-prone
lang/java/thrift/src/test/java/org/apache/avro/thrift/test/Test.java,7,2454,443,bug-prone
lang/java/tools/src/main/java/org/apache/avro/tool/BinaryFragmentToJsonTool.java,9,56,38,non-bug-prone
lang/java/tools/src/main/java/org/apache/avro/tool/CatTool.java,3,236,20,non-bug-prone
lang/java/tools/src/main/java/org/apache/avro/tool/DataFileGetMetaTool.java,4,101,7,non-bug-prone
lang/java/tools/src/main/java/org/apache/avro/tool/DataFileRepairTool.java,2,313,5,non-bug-prone
